"Benchmark","Description","Algorithm","Qubits","Gates","CNOT","Reference"
"deutsch","Deutsch algorithm with 2 qubits for f(x) = x","Hidden Subgroup","2","5","1","[OpenQASM](https://arxiv.org/pdf/1707.03429.pdf)"
"iswap","An entangling swapping gate","Logical Operation","2","9","2","[OpenQASM](https://github.com/Qiskit/openqasm)"
"quantumwalks","Quantum walks on graphs with up to 4 nodes","Quantum Walk","2","11","3","[Repo](https://github.com/raffmiceli/Quantum_Walks)"
"grover","Grover’s algorithm","Search and Optimization","2","16","2","[AgentANAKIN](https://github.com/AgentANAKIN/Grover-s-Algorithm)"
"ipea","Iterative phase estimation algorithm","Hidden Subgroup","2","68","30","[OpenQASM](https://github.com/Qiskit/openqasm)"
"dnn","3 layer quantum neural network sample","Machine Learning","2","226","42","[Ref](https://arxiv.org/abs/2012.00256)"
"teleportation","Quantum teleportation","Quantum Communication","3","8","2","[Ref](https://arxiv.org/abs/1607.02398)"
"qaoa","Quantum approximate optimization algorithm","Search and Optimization","3","15","6","[Repo](https://github.com/jtiosue/QAOAPython)"
"toffoli","Toffoli gate","Logical Operation","3","18","6","[Scaffold](https://github.com/epiqc/ScaffCC)"
"linearsolver","Solver for a linear equation of one qubit","Linear Equation","3","19","4","[Ref](https://journals.aps.org/pra/abstract/10.1103/PhysRevA.72.032301)"
"fredkin","Controlled-swap gate","Logical Operation","3","19","8","[Scaffold](https://github.com/epiqc/ScaffCC)"
"wstate","W-state preparation and assessment","Logical Operation","3","30","9","[OpenQASM](https://github.com/Qiskit/openqasm)"
"basis_change","Transform the single-particle basis of an linearly connected electronic structure","Quantum Simulation","3","53","10","[OpenFermion](https://github.com/quantumlib/OpenFermion-Cirq)"
"qrng","Quantum random number generator","Quantum Arithmetic","4","4","0","[Paper](https://arxiv.org/abs/1906.04410), [Repo](https://github.com/kentarotamura612/QRNG-benchmarking)"
"cat_state","Coherent superposition of two coherent states with opposite phase","Logical Operation","4","4","3","[Scaffold](https://github.com/epiqc/ScaffCC)"
"inverseqft","Performs an exact inversion of quantum Fourier transform","Hidden Subgroup","4","8","0","[OpenQASM](https://github.com/Qiskit/openqasm)"
"adder","Quantum ripple-carry adder","Quantum Arithmetic","4","23","10","[Scaffold](https://github.com/epiqc/ScaffCC)"
"hs4","Hidden subgroup problem","Hidden Subgroup","4","28","4","[Scaffold](https://github.com/epiqc/ScaffCC)"
"bell","Circuit equivalent to Bell inequality test","Logic Operation","4","33","7","[Cirq](https://github.com/quantumlib/cirq)"
"qft","Quantum Fourier transform","Hidden Subgroup","4","36","12","[OpenQASM](https://github.com/Qiskit/openqasm)"
"variational","Variational ansatz for a Jellium Hamiltonian with a linear-swap network","Quantum Simulation","4","54","16","[OpenFermion](https://github.com/quantumlib/OpenFermion-Cirq)"
"vqe","Variational quantum eigensolver","Linear Equation","4","89","9","[Scaffold](https://github.com/epiqc/ScaffCC)"
"vqe_uccsd","Variational quantum eigensolver with UCCSD","Linear Equation","4","220","88","[Scaffold](https://github.com/epiqc/ScaffCC)"
"basis_trotter","Implement Trotter steps for molecule LiH at equilibrium geometry","Quantum Simulation","4","1626","582","[OpenFermion](https://github.com/quantumlib/OpenFermion-Cirq)"
"qec_sm","Repetition code syndrome measurement","Error Correction","5","5","4","[OpenQASM](https://github.com/Qiskit/openqasm)"
"lpn","Learning parity with noise","Machine Learning","5","11","2","[sampaio96](https://github.com/sampaio96/Quantum-Computing)"
"qec_en","Quantum repetition code encoder","Error Correction","5","25","10","[sampaio96](https://github.com/sampaio96/Quantum-Computing)"
"shor","Shor’s algorithm","Hidden Subgroup","5","64","30","[Qiskit](https://github.com/Qiskit/qiskit)"
"pea","Phase estimation algorithm","Hidden Subgroup","5","98","42","[OpenQASM](https://github.com/Qiskit/openqasm)"
"error_correctiond3","Error correction with distance 3 and 5 qubits","Error Correction","5","114","49","[Ref](https://www.sciencedirect.com/science/article/pii/S0010465517301935)"
"simons","Simon’s algorithm","Hidden Subgroup","6","44","14","[AgentANAKIN](https://github.com/AgentANAKIN/Simon-s-Algorithm)"
"qaoa","Quantum approximate optimization algorithm","Search and Optimization","6","270","54","[Cirq](https://github.com/quantumlib/cirq)"
"vqe_uccsd","Variational quantum eigensolver with UCCSD","Linear Equation","6","2282","1052","[Scaffold](https://github.com/epiqc/ScaffCC)"
"hhl","Using HHL algorithm to solve linear system of equations","Linear Equation","7","689","196","[Qiskit HHL](https://qiskit.org/textbook/ch-applications/hhl_tutorial.html)"
"bb84","A quantum key distribution circuit","Quantum Communication","8","27","0","[Cirq](https://github.com/quantumlib/cirq)"
"dnn","16-dimension quantum neural network sample","Machine Learning","8","1008","192","[Ref](https://arxiv.org/abs/2012.00256)"
"vqe_uccsd","Variational quantum eigensolver with UCCSD","Linear Equation","8","10808","5488","[Scaffold](https://github.com/epiqc/ScaffCC)"
"qpe","Quantum phase estimation algorithm","Hidden Subgroup","9","123","43","[AgentANAKIN](https://github.com/AgentANAKIN/Quantum-Phase-Estimation)"
"adder","Quantum ripple-carry adder","Quantum Arithmetic","10","142","65","[OpenQASM](https://github.com/Qiskit/openqasm)"
"ising","Ising model simulation via QC","Quantum Simulation","10","480","90","[Scaffold](https://github.com/epiqc/ScaffCC)"
"hhl","Using HHL algorithm to solve linear system of equations","Linear Equation","10","186795","72449","[Qiskit HHL](https://qiskit.org/textbook/ch-applications/hhl_tutorial.html)"
