"Benchmark","Description","Algorithm","Qubits","Gates","CNOT","Reference"
"seca","Shor's error correction algorithm for teleportation","Error Correction","11","216","84","[AgentANAKIN](https://github.com/AgentANAKIN/Shors-Error-Correction-Algorithm)"
"sat","Boolean satisfiability problem","Search and Optimization","11","679","252","[OpenQASM](https://github.com/Qiskit/openqasm)"
"cc","Counterfeit coin finding problem","Search and Optimization","12","22","11","[OpenQASM](https://github.com/Qiskit/openqasm)"
"multiply","Performing 3×5 in a quantum circuit","Quantum Arithmetic","13","98","40","[AgentANAKIN](https://github.com/AgentANAKIN/Quantum-Multiplication)"
"gcm","Generator coordinate method","Quantum Chemistry","13","3148","762","[GCM](https://arxiv.org/abs/2212.09205)"
"bv","Bernstein-Vazirani algorithm","Hidden Subgroup","14","41","13","[OpenQASM](https://github.com/Qiskit/openqasm)"
"hhl","Using HHL algorithm to solve linear system of equations","Linear Equation","14","3726506","1042859","[HHL](https://github.com/anedumla/quantum_linear_solvers)"
"qf21","Using quantum phase estimation to factor the number 21","Hidden Subgroup","15","311","115","[AgentANAKIN](https://github.com/AgentANAKIN/Quantum-Factoring-21)"
"multiplier","Quantum multiplier","Quantum Arithmetic","15","574","246","[Cirq](https://github.com/quantumlib/cirq)"
"factor247","Factorizing 247 to 13x19 with preiod=12","Hidden Subgroup","15","610573","273071","Reproduced from [Ref](https://www.it4i.cz/en) with modification"
"dnn","quantum neural network sample","Machine Learning","16","2016","384","[Ref](https://arxiv.org/abs/2012.00256)"
"qec9xz","Quantum error correction 9-qubit code","Error Correction","17","53","32","[Ref](https://arxiv.org/pdf/0905.2794.pdf)"
"qft","Quantum Fourier transform","Hidden Subgroup","18","783","306","[OpenQASM](https://github.com/Qiskit/openqasm)"
"bigadder","Quantum ripple-carry adder","Quantum Arithmetic","18","284","130","[OpenQASM](https://github.com/Qiskit/openqasm)"
"square_root","Computing the square root of an number via amplitude amplification","Quantum Arithmetic","18","2300","898","[Scaffold](https://github.com/epiqc/ScaffCC)"
"bv","Bernstein-Vazirani algorithm","Hidden Subgroup","19","56","18","[OpenQASM](https://github.com/Qiskit/openqasm)"
"qram","Bucket brigade qRAM prototype circuit","Quantum Architecture","20","223","92","[Ref](https://iopscience.iop.org/article/10.1088/1367-2630/17/12/123010/pdf)"
"bwt","Binary Welded Tree: a quantum walk algorithm in continuous time domain","Quantum Walk","21","462001","174800","QASMBench"
"cat_state","Coherent superposition of two coherent states with opposite phase","Logical Operation","22","22","21","QASMBench"
"ghz_state","Greenberger-Horne-Zeilinger (GHZ) state for max entanglement","Logical Operation","23","23","22","QASMBench"
"vqe","Variational quantum eigensolver","Quantum Simulation","24","2306072","1538240","QASMBench"
"swap_test","Swap test to measure quantum state distance","Machine Learning","25","230","96","QASMBench"
"knn","Quantum K-nearest neighbor","Search and Optimization","25","230","96","[Ref](https://arxiv.org/pdf/2003.09187.pdf)"
"ising","Ising model simulation via QC","Quantum Simulation","26","280","50","QASMBench"
"wstate","W-state preparation and assessment","Logical Operation","27","157","52","QASMBench"
